idx,id,id_spatial,id_region_type,id_region,year,internal_id,value
115,17243719,45,4,1004000,2006,[1],1260873000
116,17250103,45,4,1004000,2007,[2],16459
117,17243320,45,4,1004000,2007,[1],1286200000
118,17249704,45,4,1004000,2008,[2],16532
119,17242921,45,4,1004000,2008,[1],1285267000
120,17249305,45,4,1004000,2009,[2],16486
121,17242522,45,4,1004000,2009,[1],1276249000
122,17248906,45,4,1004000,2010,[2],16512
123,17242123,45,4,1004000,2010,[1],1276334000
124,17248507,45,4,1004000,2011,[2],16866
125,17241724,45,4,1004000,2011,[1],1302726000
126,17248108,45,4,1004000,2012,[2],17482
127,17241325,45,4,1004000,2012,[1],1347423000
128,17247709,45,4,1004000,2013,[2],17844
129,17240926,45,4,1004000,2013,[1],1374067000
130,17247310,45,4,1004000,2014,[2],18530
131,17240527,45,4,1004000,2014,[1],1432784000
132,17246911,45,4,1004000,2015,[2],18676
133,17240128,45,4,1004000,2015,[1],1464078000
134,17246512,45,4,1004000,2016,[2],18922
135,17239729,45,4,1004000,2016,[1],1503163000
136,17252897,45,4,1051000,2000,[2],14214
137,17246114,45,4,1051000,2000,[1],1943220000
138,17252498,45,4,1051000,2001,[2],14867
139,17245715,45,4,1051000,2001,[1],2036040000
140,17252099,45,4,1051000,2002,[2],15065
141,17245316,45,4,1051000,2002,[1],2064732000
142,17251700,45,4,1051000,2003,[2],15614
143,17244917,45,4,1051000,2003,[1],2139504000
144,17251301,45,4,1051000,2004,[2],16229
145,17244518,45,4,1051000,2004,[1],2222883000
146,17250902,45,4,1051000,2005,[2],16567
147,17244119,45,4,1051000,2005,[1],2267338000
148,17250503,45,4,1051000,2006,[2],16773
149,17243720,45,4,1051000,2006,[1],2290364000
150,17250104,45,4,1051000,2007,[2],17217
151,17243321,45,4,1051000,2007,[1],2343654000
152,17249705,45,4,1051000,2008,[2],17817
153,17242922,45,4,1051000,2008,[1],2415311000
154,17249306,45,4,1051000,2009,[2],17821
155,17242523,45,4,1051000,2009,[1],2404959000
156,17248907,45,4,1051000,2010,[2],18218
157,17242124,45,4,1051000,2010,[1],2449270000
158,17248508,45,4,1051000,2011,[2],18912
159,17241725,45,4,1051000,2011,[1],2531185000
160,17248109,45,4,1051000,2012,[2],19512
161,17241326,45,4,1051000,2012,[1],2599543000
162,17247710,45,4,1051000,2013,[2],20267
163,17240927,45,4,1051000,2013,[1],2691754000
164,17247311,45,4,1051000,2014,[2],20722
165,17240528,45,4,1051000,2014,[1],2749272000
166,17246912,45,4,1051000,2015,[2],21040
167,17240129,45,4,1051000,2015,[1],2794129000
168,17246513,45,4,1051000,2016,[2],21571
169,17239730,45,4,1051000,2016,[1],2874109000
170,17252898,45,4,1053000,2000,[2],17094
171,17246115,45,4,1053000,2000,[1],3056606000
172,17252499,45,4,1053000,2001,[2],17715
173,17245716,45,4,1053000,2001,[1],3202759000
174,17252100,45,4,1053000,2002,[2],17770
175,17245317,45,4,1053000,2002,[1],3247881000
176,17251701,45,4,1053000,2003,[2],18080
177,17244918,45,4,1053000,2003,[1],3333915000
178,17251302,45,4,1053000,2004,[2],18386
179,17244519,45,4,1053000,2004,[1],3410065000
180,17250903,45,4,1053000,2005,[2],18889
181,17244120,45,4,1053000,2005,[1],3518429000
182,17250504,45,4,1053000,2006,[2],19025
183,17243721,45,4,1053000,2006,[1],3552827000
184,17250105,45,4,1053000,2007,[2],19444
185,17243322,45,4,1053000,2007,[1],3637210000
186,17249706,45,4,1053000,2008,[2],19979
187,17242923,45,4,1053000,2008,[1],3737984000
188,17249307,45,4,1053000,2009,[2],20278
189,17242524,45,4,1053000,2009,[1],3789338000
190,17248908,45,4,1053000,2010,[2],20628
191,17242125,45,4,1053000,2010,[1],3853546000
192,17248509,45,4,1053000,2011,[2],21299
193,17241726,45,4,1053000,2011,[1],3985425000
194,17248110,45,4,1053000,2012,[2],21982
195,17241327,45,4,1053000,2012,[1],4123780000
196,17247711,45,4,1053000,2013,[2],21858
197,17240928,45,4,1053000,2013,[1],4119637000
198,17247312,45,4,1053000,2014,[2],22215
199,17240529,45,4,1053000,2014,[1],4218004000
