idx,id_spatial,id_region_type,id_region,year,internal_id,value
146,14,4,3153000,2011,[6],811
147,14,4,3154000,2011,[0],41895
148,14,4,3154000,2011,[1],13945
149,14,4,3154000,2011,[2],14566
150,14,4,3154000,2011,[3],6890
151,14,4,3154000,2011,[4],4587
152,14,4,3154000,2011,[5],1365
153,14,4,3154000,2011,[6],542
154,14,4,3155000,2011,[0],61560
155,14,4,3155000,2011,[1],20193
156,14,4,3155000,2011,[2],21010
157,14,4,3155000,2011,[3],10156
158,14,4,3155000,2011,[4],7051
159,14,4,3155000,2011,[5],2123
160,14,4,3155000,2011,[6],1027
161,14,4,3157000,2011,[0],56354
162,14,4,3157000,2011,[1],16865
163,14,4,3157000,2011,[2],19677
164,14,4,3157000,2011,[3],9644
165,14,4,3157000,2011,[4],7089
166,14,4,3157000,2011,[5],2095
167,14,4,3157000,2011,[6],984
168,14,4,3158000,2011,[0],54816
169,14,4,3158000,2011,[1],18280
170,14,4,3158000,2011,[2],18800
171,14,4,3158000,2011,[3],8799
172,14,4,3158000,2011,[4],6334
173,14,4,3158000,2011,[5],1824
174,14,4,3158000,2011,[6],779
175,14,4,3159000,2011,[0],159234
176,14,4,3159000,2011,[1],63883
177,14,4,3159000,2011,[2],50947
178,14,4,3159000,2011,[3],22161
179,14,4,3159000,2011,[4],15338
180,14,4,3159000,2011,[5],4674
181,14,4,3159000,2011,[6],2231
182,14,4,3241000,2011,[0],546904
183,14,4,3241000,2011,[1],232085
184,14,4,3241000,2011,[2],175841
185,14,4,3241000,2011,[3],70326
186,14,4,3241000,2011,[4],48339
187,14,4,3241000,2011,[5],14049
188,14,4,3241000,2011,[6],6264
189,14,4,3251000,2011,[0],88996
190,14,4,3251000,2011,[1],25454
191,14,4,3251000,2011,[2],31550
192,14,4,3251000,2011,[3],14807
193,14,4,3251000,2011,[4],11523
194,14,4,3251000,2011,[5],3694
195,14,4,3251000,2011,[6],1968
196,14,4,3252000,2011,[0],70510
197,14,4,3252000,2011,[1],26520
198,14,4,3252000,2011,[2],24269
199,14,4,3252000,2011,[3],9748
200,14,4,3252000,2011,[4],6937
201,14,4,3252000,2011,[5],2064
202,14,4,3252000,2011,[6],972
203,14,4,3254000,2011,[0],127893
204,14,4,3254000,2011,[1],45671
205,14,4,3254000,2011,[2],43431
206,14,4,3254000,2011,[3],19176
207,14,4,3254000,2011,[4],13816
208,14,4,3254000,2011,[5],3998
209,14,4,3254000,2011,[6],1801
210,14,4,3255000,2011,[0],33407
211,14,4,3255000,2011,[1],11110
212,14,4,3255000,2011,[2],11165
213,14,4,3255000,2011,[3],5399
214,14,4,3255000,2011,[4],3855
215,14,4,3255000,2011,[5],1249
216,14,4,3255000,2011,[6],629
217,14,4,3256000,2011,[0],50721
218,14,4,3256000,2011,[1],14986
219,14,4,3256000,2011,[2],16870
220,14,4,3256000,2011,[3],8376
221,14,4,3256000,2011,[4],6754
222,14,4,3256000,2011,[5],2332
223,14,4,3256000,2011,[6],1403
224,14,4,3257000,2011,[0],70482
225,14,4,3257000,2011,[1],23213
226,14,4,3257000,2011,[2],24342
227,14,4,3257000,2011,[3],11094
228,14,4,3257000,2011,[4],8170
229,14,4,3257000,2011,[5],2491
230,14,4,3257000,2011,[6],1172
231,14,4,3351000,2011,[0],78364
232,14,4,3351000,2011,[1],26078
233,14,4,3351000,2011,[2],27214
234,14,4,3351000,2011,[3],11607
235,14,4,3351000,2011,[4],8754
236,14,4,3351000,2011,[5],3031
237,14,4,3351000,2011,[6],1680
238,14,4,3352000,2011,[0],89377
239,14,4,3352000,2011,[1],27300
240,14,4,3352000,2011,[2],32915
241,14,4,3352000,2011,[3],14070
242,14,4,3352000,2011,[4],10142
243,14,4,3352000,2011,[5],3238
244,14,4,3352000,2011,[6],1712
245,14,4,3353000,2011,[0],104989
246,14,4,3353000,2011,[1],31468
247,14,4,3353000,2011,[2],38482
248,14,4,3353000,2011,[3],16847
249,14,4,3353000,2011,[4],13150
250,14,4,3353000,2011,[5],3518
251,14,4,3353000,2011,[6],1524
252,14,4,3354000,2011,[0],22821
253,14,4,3354000,2011,[1],7762
254,14,4,3354000,2011,[2],7719
255,14,4,3354000,2011,[3],3500
256,14,4,3354000,2011,[4],2409
257,14,4,3354000,2011,[5],880
258,14,4,3354000,2011,[6],551
259,14,4,3355000,2011,[0],79163
260,14,4,3355000,2011,[1],28317
261,14,4,3355000,2011,[2],26002
262,14,4,3355000,2011,[3],11843
263,14,4,3355000,2011,[4],9012
264,14,4,3355000,2011,[5],2666
265,14,4,3355000,2011,[6],1323
266,14,4,3356000,2011,[0],47174
267,14,4,3356000,2011,[1],13263
268,14,4,3356000,2011,[2],17467
269,14,4,3356000,2011,[3],7713
270,14,4,3356000,2011,[4],6160
271,14,4,3356000,2011,[5],1734
272,14,4,3356000,2011,[6],837
273,14,4,3357000,2011,[0],67143
274,14,4,3357000,2011,[1],18953
275,14,4,3357000,2011,[2],22565
276,14,4,3357000,2011,[3],11286
277,14,4,3357000,2011,[4],9269
278,14,4,3357000,2011,[5],3250
279,14,4,3357000,2011,[6],1820
280,14,4,3358000,2011,[0],59924
281,14,4,3358000,2011,[1],19370
282,14,4,3358000,2011,[2],20717
283,14,4,3358000,2011,[3],9278
284,14,4,3358000,2011,[4],6981
285,14,4,3358000,2011,[5],2330
286,14,4,3358000,2011,[6],1248
287,14,4,3359000,2011,[0],84704
288,14,4,3359000,2011,[1],26527
289,14,4,3359000,2011,[2],29404
290,14,4,3359000,2011,[3],13168
291,14,4,3359000,2011,[4],10778
292,14,4,3359000,2011,[5],3305
293,14,4,3359000,2011,[6],1522
294,14,4,3360000,2011,[0],42809
295,14,4,3360000,2011,[1],14890
296,14,4,3360000,2011,[2],14832
297,14,4,3360000,2011,[3],6209
298,14,4,3360000,2011,[4],4543
299,14,4,3360000,2011,[5],1560
300,14,4,3360000,2011,[6],775
301,14,4,3361000,2011,[0],56835
302,14,4,3361000,2011,[1],16859
303,14,4,3361000,2011,[2],20569
304,14,4,3361000,2011,[3],9161
305,14,4,3361000,2011,[4],6864
306,14,4,3361000,2011,[5],2144
307,14,4,3361000,2011,[6],1238
308,14,4,3401000,2011,[0],34538
309,14,4,3401000,2011,[1],12723
310,14,4,3401000,2011,[2],12024
311,14,4,3401000,2011,[3],4999
312,14,4,3401000,2011,[4],3249
313,14,4,3401000,2011,[5],1043
314,14,4,3401000,2011,[6],500
315,14,4,3402000,2011,[0],23940
316,14,4,3402000,2011,[1],9450
317,14,4,3402000,2011,[2],7982
318,14,4,3402000,2011,[3],3215
319,14,4,3402000,2011,[4],2326
320,14,4,3402000,2011,[5],671
321,14,4,3402000,2011,[6],296
322,14,4,3403000,2011,[0],81055
323,14,4,3403000,2011,[1],35253
324,14,4,3403000,2011,[2],26868
325,14,4,3403000,2011,[3],9566
326,14,4,3403000,2011,[4],6617
327,14,4,3403000,2011,[5],1903
328,14,4,3403000,2011,[6],848
329,14,4,3404000,2011,[0],79831
330,14,4,3404000,2011,[1],36429
331,14,4,3404000,2011,[2],25029
332,14,4,3404000,2011,[3],9182
333,14,4,3404000,2011,[4],6182
334,14,4,3404000,2011,[5],2047
335,14,4,3404000,2011,[6],962
336,14,4,3405000,2011,[0],40810
337,14,4,3405000,2011,[1],19164
338,14,4,3405000,2011,[2],13571
339,14,4,3405000,2011,[3],4250
340,14,4,3405000,2011,[4],2589
341,14,4,3405000,2011,[5],819
342,14,4,3405000,2011,[6],417
343,14,4,3451000,2011,[0],50594
344,14,4,3451000,2011,[1],14550
345,14,4,3451000,2011,[2],18547
346,14,4,3451000,2011,[3],7858
347,14,4,3451000,2011,[4],6784
348,14,4,3451000,2011,[5],2053
349,14,4,3451000,2011,[6],802
350,14,4,3452000,2011,[0],83435
351,14,4,3452000,2011,[1],25073
352,14,4,3452000,2011,[2],29402
353,14,4,3452000,2011,[3],13514
354,14,4,3452000,2011,[4],10572
355,14,4,3452000,2011,[5],3406
356,14,4,3452000,2011,[6],1468
357,14,4,3453000,2011,[0],56951
358,14,4,3453000,2011,[1],12903
359,14,4,3453000,2011,[2],16993
360,14,4,3453000,2011,[3],9638
361,14,4,3453000,2011,[4],9946
362,14,4,3453000,2011,[5],4451
363,14,4,3453000,2011,[6],3020
364,14,4,3454000,2011,[0],118026
365,14,4,3454000,2011,[1],29444
366,14,4,3454000,2011,[2],36361
367,14,4,3454000,2011,[3],19707
368,14,4,3454000,2011,[4],20027
369,14,4,3454000,2011,[5],8110
370,14,4,3454000,2011,[6],4377
371,14,4,3455000,2011,[0],44971
372,14,4,3455000,2011,[1],14278
373,14,4,3455000,2011,[2],17154
374,14,4,3455000,2011,[3],6629
375,14,4,3455000,2011,[4],4881
376,14,4,3455000,2011,[5],1454
377,14,4,3455000,2011,[6],575
378,14,4,3456000,2011,[0],52587
379,14,4,3456000,2011,[1],13762
380,14,4,3456000,2011,[2],17288
381,14,4,3456000,2011,[3],8644
382,14,4,3456000,2011,[4],8215
383,14,4,3456000,2011,[5],3029
384,14,4,3456000,2011,[6],1649
385,14,4,3457000,2011,[0],69398
386,14,4,3457000,2011,[1],20409
387,14,4,3457000,2011,[2],24027
388,14,4,3457000,2011,[3],11164
389,14,4,3457000,2011,[4],9278
390,14,4,3457000,2011,[5],3123
391,14,4,3457000,2011,[6],1397
392,14,4,3458000,2011,[0],51819
393,14,4,3458000,2011,[1],14011
394,14,4,3458000,2011,[2],18350
395,14,4,3458000,2011,[3],9003
396,14,4,3458000,2011,[4],7269
397,14,4,3458000,2011,[5],2151
398,14,4,3458000,2011,[6],1035
399,14,4,3459000,2011,[0],141785
400,14,4,3459000,2011,[1],39961
401,14,4,3459000,2011,[2],46423
402,14,4,3459000,2011,[3],23251
403,14,4,3459000,2011,[4],20618
