Application,1,2,3,4,5,all
Light,0.01,0.01,0.01,0.01,0.01,0.01
Cooking,0.01,0.01,0.01,0.01,0.01,0.01
Dishwashing,0.01,0.01,0.01,0.01,0.01,0.01
Washing,0.01,0.01,0.01,0.01,0.01,0.01
Tumbler,0.01,0.01,0.01,0.01,0.01,0.01
Hotwater,0.2,0.2,0.2,0.2,0.2,0.2
Office,0.5,0.5,0.5,0.5,0.5,0.5
TV_Audio,0.1,0.1,0.1,0.1,0.1,0.1
Other,0.25,0.25,0.25,0.25,0.25,0.25
Fridge,1,1,1,1,1,1
Circulation,1,1,1,1,1,1
Freezer,1,1,1,1,1,1
