HH_size,Day,Season,Application,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,1,1,1,0.002585805,0.002204848,0.001951904,0.001648322,0.000971086,0.00071544,0.000851442,0.000516623,0.000411471,0.00040407,0.000323535,0.000348703,0.000146204,0.000197047,0.000170092,0.000129158,0.000656743,0.00074871,0.00123679,0.00130231,0.002019992,0.002201647,0.00292808,0.003330101,0.005003291,0.005652247,0.006952374,0.007517152,0.010455617,0.010533579,0.011555444,0.011234421,0.012284203,0.012264366,0.013039742,0.013053083,0.012871492,0.012581703,0.012534252,0.012244768,0.01191121,0.011618615,0.010871016,0.010987126,0.010836515,0.011068022,0.011801085,0.012300793,0.01429142,0.014407656,0.01438697,0.013568896,0.012545724,0.012095535,0.010971031,0.010596598,0.010549098,0.010560571,0.010528689,0.010673124,0.010985688,0.011021545,0.011233228,0.011898318,0.012044037,0.011857041,0.01189528,0.01266792,0.013372125,0.013962999,0.015011407,0.015874198,0.017591773,0.017776635,0.018041041,0.018360823,0.018739372,0.019042896,0.019327283,0.019418582,0.02138249,0.021600751,0.021730032,0.021590317,0.021548726,0.021667754,0.020715758,0.019730896,0.016053356,0.014052291,0.01208531,0.010393193,0.007959812,0.006227906,0.00511999,0.003587718
1,1,1,2,0,0,0,0,0,0,0.000160747,0,0,0,0,0,0,0,0,0,0.000197814,0.000828152,0.001914105,0.00205171,0.003337295,0.00085124,0.005887878,0.006682784,0.007117711,0.00980713,0.011032372,0.009774436,0.012342235,0.009262593,0.015442175,0.014347389,0.01485263,0.012349272,0.015849946,0.018707238,0.01075079,0.009922707,0.008092763,0.009449345,0.011038759,0.012649463,0.012434761,0.017930264,0.028061766,0.031544913,0.042692706,0.047199011,0.043439332,0.033250414,0.032818295,0.023245217,0.022374969,0.016565837,0.008192186,0.006626471,0.010081703,0.009485002,0.005834695,0.009280858,0.008115897,0.005780044,0.005511752,0.007054012,0.008837732,0.006619355,0.00838808,0.007784437,0.016703252,0.020252032,0.02577449,0.024683721,0.033076003,0.02289881,0.018451611,0.020589447,0.021961251,0.018349882,0.016512899,0.014016191,0.01174169,0.006637834,0.003872839,0.004364347,0.00427622,0.00298191,0.001712907,0.002618009,0.00183789,0.002438975,0.000569665,0.001971202,0.002116166,0,0.000274227,0
1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795315,0,0.001431317,0.001690359,0,0,0.001760731,0.001243757,0.000636954,0.001273907,0.004740853,0.004142998,0.00524687,0.003856572,0.011150146,0.014303727,0.012446023,0.006868172,0.011710805,0.02076035,0.01425245,0.011330128,0.018238178,0.020356432,0.017101128,0.011635437,0.013394923,0.005375896,0.008181619,0.007365004,0.012120449,0.016630676,0.030006021,0.04122429,0.049972482,0.05130709,0.033487961,0.027753761,0.021567641,0.023142343,0.011710557,0.007361783,0.007842114,0.008786546,0.008094476,0.010650625,0.010543139,0.005873116,0.004016659,0.005362462,0.00909478,0.013204461,0.009710818,0.004203859,0.009412142,0.013729662,0.020426163,0.019297203,0.031155206,0.035539553,0.024769789,0.020013703,0.019675273,0.023242932,0.017559253,0.012735336,0.01174962,0.005130367,0.002690282,0.002794605,0.001087023,0.00169862,0.006657838,0.003817582,0.001059481,0,0,0,0.000457848,0
1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001801553,0.000900776,0,0.001508991,0.003697696,0.003574033,0.001976378,0.003726196,0.005675511,0.0043042,0.008226315,0.011546117,0.012338288,0.016218625,0.017203398,0.024913779,0.023645222,0.032664154,0.030800724,0.023455184,0.016203267,0.03054324,0.032536004,0.022599835,0.027958563,0.020536611,0.017089477,0.011594797,0.013154737,0.008160238,0.007802004,0.013416694,0.018257108,0.014915072,0.016915249,0.012453614,0.010806312,0.009991513,0.003046001,0.012818221,0.00651982,0.009711537,0.009830968,0.018490007,0.009984904,0.015970793,0.021618705,0.026031163,0.028036322,0.027864575,0.018285519,0.017768193,0.026225092,0.021972053,0.015549476,0.01372192,0.01692982,0.016648816,0.013526765,0.012380056,0.007999183,0.013278653,0.012566702,0.00995176,0.003003864,0.001617516,0.003041451,0.00569566,0,0.009786528,0.000952293,0.002388259,0,0,0
1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001801553,0.000900776,0,0.001508991,0.003697696,0.003574033,0.001976378,0.003726196,0.005675511,0.0043042,0.008226315,0.011546117,0.012338288,0.016218625,0.017203398,0.024913779,0.023645222,0.032664154,0.030800724,0.023455184,0.016203267,0.03054324,0.032536004,0.022599835,0.027958563,0.020536611,0.017089477,0.011594797,0.013154737,0.008160238,0.007802004,0.013416694,0.018257108,0.014915072,0.016915249,0.012453614,0.010806312,0.009991513,0.003046001,0.012818221,0.00651982,0.009711537,0.009830968,0.018490007,0.009984904,0.015970793,0.021618705,0.026031163,0.028036322,0.027864575,0.018285519,0.017768193,0.026225092,0.021972053,0.015549476,0.01372192,0.01692982,0.016648816,0.013526765,0.012380056,0.007999183,0.013278653,0.012566702,0.00995176,0.003003864,0.001617516,0.003041451,0.00569566,0,0.009786528,0.000952293,0.002388259,0,0,0
1,1,1,6,0.002875253,0.002103116,0.001603005,0.001054726,0.00081995,0.000272793,0.001845169,0.000144022,7.20E-05,0.000296706,0.000296833,0.000440105,0.000154481,0.000481046,0.000644476,0.000184139,0.002218703,0.003745277,0.003804886,0.002746704,0.005087501,0.005761513,0.008646569,0.009419281,0.015217704,0.017607406,0.019298714,0.018276071,0.028434863,0.027013192,0.026963228,0.023501951,0.026433641,0.024818311,0.023142586,0.019236835,0.018563094,0.020547774,0.018223442,0.017478049,0.015489877,0.015297827,0.013989,0.012986942,0.010523248,0.010960596,0.01249719,0.012132001,0.011250609,0.011396844,0.013462382,0.013185091,0.011289918,0.010114326,0.008429533,0.007871703,0.006565722,0.006248393,0.005704897,0.006097916,0.005271023,0.005730656,0.006294839,0.00605697,0.006572722,0.00621114,0.007253868,0.007841751,0.011249413,0.012695916,0.012052958,0.012075947,0.01508911,0.013097154,0.013188742,0.013681296,0.011242618,0.010117604,0.009584082,0.010456173,0.008151816,0.006577011,0.006745887,0.005256434,0.009322668,0.010641223,0.011316027,0.01213711,0.025396131,0.013770907,0.011461627,0.011052849,0.012589751,0.006498538,0.006924118,0.002029193
1,1,1,7,0.006175554,0.006501891,0.004116321,0.004116321,0.003191524,0.003133946,0.002450836,0.002125041,0.002302572,0.002302572,0.002302572,0.002302572,0.001057495,0.001057495,0.000211224,0,0.000309683,0.00031353,0.000421152,0.001012611,0.001012611,0.000827293,0.001757451,0.00096485,0.000687534,0.000528775,0.001764455,0.001778129,0.0037665,0.006533159,0.004395451,0.004406589,0.005135196,0.00751601,0.009808177,0.006666028,0.006902563,0.006901391,0.010552597,0.013221476,0.010253711,0.010742909,0.00896477,0.008517904,0.008493328,0.009995467,0.006843342,0.005116107,0.006008594,0.007126638,0.005899749,0.005778035,0.005984701,0.00405891,0.004912523,0.005794852,0.010409098,0.012089056,0.013482979,0.013911063,0.019247105,0.017101049,0.016219219,0.015823379,0.015410852,0.018088974,0.018522028,0.019581383,0.021681121,0.029465068,0.025081769,0.022845125,0.020042701,0.021024121,0.023890089,0.025981672,0.01541404,0.015984287,0.02166968,0.02239947,0.021386966,0.022493806,0.020364745,0.020289684,0.02143701,0.019380281,0.018943166,0.021057744,0.014870256,0.016831104,0.016489744,0.012445622,0.009841479,0.008777631,0.007171705,0.006798744
1,1,1,8,0.003731719,0.003335012,0.002928957,0.002531376,0.001216817,0.000984514,0.000882675,0.00053612,0.000168735,0.000127069,0.000127069,0.000127069,2.21E-05,0,0,8.44E-05,0.000439124,0.00068597,0.000671134,0.000744382,0.001696297,0.001797317,0.002102021,0.002346473,0.003741444,0.004344594,0.005138193,0.006050893,0.00756177,0.008020419,0.007878222,0.007617406,0.007544253,0.00758342,0.007776944,0.008438698,0.007079844,0.007465226,0.008148378,0.008260896,0.008202099,0.008121897,0.007422857,0.007642842,0.006994403,0.007485489,0.007834176,0.008137942,0.008920548,0.007811185,0.007419726,0.007399489,0.008312783,0.008987052,0.008021994,0.007580619,0.007866633,0.008484461,0.008566524,0.007853142,0.007629753,0.00824435,0.008468204,0.008370209,0.00937246,0.010039639,0.009979072,0.011276327,0.012510285,0.012492875,0.013727337,0.014462143,0.015671587,0.01660601,0.018345958,0.019587943,0.023688797,0.02423002,0.024809742,0.026495317,0.035459545,0.036456954,0.037444301,0.038410459,0.037978236,0.037918888,0.035723332,0.031752378,0.020336755,0.019501055,0.018045083,0.015762202,0.01068467,0.008608603,0.00687345,0.00551369
1,1,1,9,0.002225388,0.001664656,0.001164115,0.000765951,0.000766679,0.000198104,0.001327027,0.00010459,5.23E-05,0.00021547,0.000215563,0.000319608,0.000112185,0.00034934,0.000468024,0.000133723,0.001756236,0.002804124,0.002573747,0.001855631,0.003583768,0.004381505,0.005931167,0.006982085,0.011461208,0.013607316,0.013659466,0.014415661,0.02190798,0.021255521,0.020110862,0.019550608,0.023638152,0.022574104,0.022648029,0.019952273,0.02359179,0.026655339,0.025283517,0.022561483,0.023512347,0.022910243,0.020869477,0.019442139,0.013459458,0.013121769,0.01339695,0.009608071,0.005987337,0.005368996,0.007553535,0.008178411,0.009768674,0.00977714,0.008564081,0.007649815,0.007969175,0.008810321,0.00944246,0.009110289,0.007050801,0.008663106,0.009668006,0.009597136,0.009660728,0.010809668,0.009725637,0.00925398,0.012661736,0.014310712,0.014139908,0.015127863,0.012452385,0.010426298,0.01057744,0.011986832,0.007307615,0.00850842,0.009352732,0.01084816,0.007670077,0.00752754,0.007551947,0.00694629,0.008406946,0.008429063,0.008968527,0.00944937,0.018798642,0.01014536,0.008454145,0.008285433,0.009374607,0.005586828,0.005216944,0.001473616
1,1,2,1,0.003084099,0.002388292,0.002132335,0.001753437,0.001285524,0.0009629,0.001021599,0.000759318,0.000677314,0.000710875,0.000684263,0.000776534,0.000634728,0.000309332,0.000372327,0.000394272,0.000220185,0.000410723,0.000748813,0.001494407,0.002555791,0.003067927,0.003224769,0.003402077,0.005389815,0.005719714,0.006738006,0.007327692,0.010293283,0.01045069,0.011326545,0.011292154,0.012323256,0.012397434,0.012273613,0.01222322,0.012159046,0.011443634,0.011040719,0.010906021,0.010620786,0.010139912,0.009917803,0.00975731,0.010514188,0.010484432,0.01101802,0.011708841,0.013443655,0.013516102,0.013250053,0.01322434,0.012184051,0.011781635,0.011382507,0.01055578,0.010222726,0.010111921,0.010955687,0.010802777,0.010992409,0.010662792,0.010857708,0.011686336,0.011020323,0.011134516,0.011211676,0.011402087,0.012637403,0.0135732,0.014384523,0.015046557,0.016790578,0.017522568,0.01831205,0.018090978,0.019427255,0.019450167,0.019656781,0.020362284,0.020944187,0.021073282,0.020865321,0.021058906,0.020598507,0.020508885,0.020123027,0.019414969,0.016230738,0.014531295,0.013039593,0.011335663,0.008117783,0.006908133,0.00551546,0.004482681
